,Title,Published_date,Views,Likes,Comments,Month
111,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7013,293,126,Jan
112,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,10004,308,52,Jan
113,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,23303,702,134,Jan
114,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,38857,1152,147,Jan
115,What is the #66DaysOfData?,2020-12-26,70453,2337,202,Dec
116,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131648,5959,488,Dec
117,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,11079,402,133,Dec
118,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23651,724,324,Dec
119,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,28441,868,160,Nov
120,6 Lessons from #66DaysOfData,2020-11-13,6757,339,93,Nov
121,100K Channel Update + AMA Stream!,2020-11-12,2319,127,22,Nov
122,Find a Data Science Project With These 3 Techniques,2020-11-06,16941,732,106,Nov
123,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,27822,684,155,Oct
124,git for Data Science Made Simple... (Hopefully),2020-10-23,20852,899,92,Oct
125,The PODCAST you might have asked for?,2020-10-19,2127,94,44,Oct
126,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6784,451,113,Oct
127,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14587,425,47,Oct
128,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,6961,145,62,Oct
129,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,12161,575,83,Oct
130,Sh*t Data Scientists Say (Parody),2020-10-05,9625,581,144,Oct
131,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8638,364,93,Oct
132,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7088,288,61,Sep
133,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,11868,293,69,Sep
134,5 Essential Data Science Projects for Your Portfolio,2020-09-26,73828,3126,206,Sep
135,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5204,199,64,Sep
136,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,13312,502,58,Sep
137,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7508,254,34,Sep
138,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5115,196,56,Sep
139,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4335,157,35,Sep
140,The 5 Pillars of Success I Live By,2020-09-11,10156,873,152,Sep
141,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1894,78,25,Sep
142,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4054,163,43,Sep
143,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,11899,740,144,Sep
144,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,18042,574,89,Sep
145,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,18192,796,93,Aug
146,Why I'm Starting Data Science Over Again.,2020-08-29,50799,2601,450,Aug
147,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15321,634,77,Aug
148,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,13195,471,55,Aug
149,Don't Buy My Course..,2020-08-21,7345,360,146,Aug
150,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29139,1114,166,Aug
151,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3253,127,38,Aug
152,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6349,539,108,Aug
153,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,5053,185,39,Aug
154,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,12910,407,53,Aug
155,The Plagiarism Problem in Data Science,2020-08-07,13097,628,145,Aug
156,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14487,603,89,Aug
157,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,4934,186,56,Aug
158,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11494,583,90,Jul
159,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2327,116,34,Jul
160,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5697,250,112,Jul
161,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8265,248,199,Jul
162,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1868,97,27,Jul
163,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29322,565,90,Jul
164,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,348195,7600,433,Jul
165,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30420,1125,121,Jul
166,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3656,135,50,Jul
167,The Best Computer for Data Science Beginners,2020-07-10,38986,864,158,Jul
168,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6177,231,82,Jul
169,Critiquing MY OWN Data Science Resume,2020-07-06,12736,399,88,Jul
170,Where to Start Learning Data Science,2020-07-03,18980,781,127,Jul
171,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4195,197,35,Jul
172,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4626,176,52,Jun
173,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16669,553,79,Jun
174,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2427,82,40,Jun
175,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2388,139,49,Jun
176,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4405,168,46,Jun
177,Why You're Struggling to Learn Data Science,2020-06-12,15301,1008,159,Jun
178,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,12041,361,70,Jun
179,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,24145,686,146,Jun
180,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5717,154,53,Jun
181,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,75236,2238,270,May
182,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,20995,489,81,May
183,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,56214,1994,178,May
184,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11280,179,53,May
185,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,135063,4513,193,May
186,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3104,147,115,May
187,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4545,154,74,May
188,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1397518,48955,1989,May
189,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5590,198,42,May
190,What You Need to Know for a Data Science Internship,2020-05-01,22477,1214,60,May
191,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8387,348,54,Apr
192,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,14994,456,103,Apr
193,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3161,85,24,Apr
194,5 Tips for Crushing the Work From Home Life,2020-04-20,5443,203,38,Apr
195,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,22101,746,129,Apr
196,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,30236,737,98,Apr
197,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,45257,917,155,Apr
198,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,73876,1910,213,Apr
199,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,82598,1784,277,Apr
200,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,131941,3542,620,Apr
201,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,203304,5131,173,Apr
202,When Data Science Goes Wrong,2020-03-30,1816,106,32,Mar
203,How to ULTRALEARN Data Science,2020-03-27,62100,3821,169,Mar
204,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4464,268,50,Mar
205,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,13353,473,45,Mar
206,The Secret Data Scientists Don't Want You to Know,2020-03-16,10825,1138,103,Mar
207,The 5 Stages of Learning Data Science,2020-03-13,17605,1296,78,Mar
208,Can You Learn Data Science Without a Computer?,2020-03-11,1808,121,14,Mar
209,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,348296,21212,620,Mar
210,The Data Science Projects that Got Me a Job,2020-03-06,41255,1400,41,Mar
211,How to Integrate Data Science into Your Business,2020-03-02,3392,130,18,Mar
212,The Problem with Data Science,2020-02-28,3807,153,19,Feb
213,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1190,46,16,Feb
214,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,133724,2529,97,Feb
215,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,331471,17906,526,Feb
216,Data Science Advice for College Students,2020-02-14,69039,1964,197,Feb
217,Avoid These Data Science Resume Mistakes!,2020-02-10,28684,1250,62,Feb
218,Data Science Explained with ... Cooking?,2020-02-07,5414,316,48,Feb
219,The 4 Types of Sports Analytics Projects,2020-02-03,32382,1051,62,Feb
220,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,596,18,13,Jan
221,How I Learned Data Science,2020-01-27,94260,2696,210,Jan
222,What is Sports Analytics Really?,2020-01-20,21851,618,74,Jan
223,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,112064,3141,575,Jan
224,How To Learn Programming for Data Science [3 Steps],2020-01-13,30159,1981,96,Jan
225,Data Science Fundamentals: SQL Queries,2020-01-10,6685,217,35,Jan
226,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3167,152,14,Jan
227,The 9 Books That Changed My Perspective in 2019,2020-01-03,3401,179,25,Jan
228,The Data Science Interview: What to Expect,2019-12-30,8693,382,32,Dec
229,5 Data Science Resolutions for 2020,2019-12-27,475,25,12,Dec
230,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,17550,612,95,Dec
231,Collision Course: Sports Betting + Data Science,2019-12-20,19111,517,27,Dec
232,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,101005,2930,204,Dec
233,5 Sports Analytics Books to Get You Started,2019-12-13,11237,419,60,Dec
234,Math Needed for Mastering Data Science,2019-12-09,57945,2901,222,Dec
235,The 5 Stages of Data Science Adoption,2019-12-06,1333,69,17,Dec
236,How YOU Can Land a Sports Analytics Job,2019-12-02,71273,3128,232,Dec
237,Data Science Fundamentals: Linear Regression,2019-11-29,6445,172,42,Nov
238,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1145,54,12,Nov
239,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,6380,277,26,Nov
240,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46502,1760,80,Nov
241,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5965,137,31,Nov
242,Why Selling Is An Important Data Science Skill,2019-11-04,1646,81,13,Nov
243,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2926,72,18,Oct
244,Why is Balance Important in Data Science?,2019-10-16,709,32,13,Oct
245,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11998,585,55,Sep
246,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,4032,118,34,Sep
247,6 Habits of Successful Data Scientists,2019-09-13,2254,96,17,Sep
248,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4860,105,9,Sep
249,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,522,24,29,Aug
250,Is Data Science Right For You?,2019-08-18,51846,1185,109,Aug
251,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15091,393,55,Aug
252,How To Get Data Science Experience (Without a Job),2019-08-08,29758,1390,77,Aug
253,Take Your Data Science Projects From Good to Great,2019-08-05,1636,108,11,Aug
254,The Projects You Should Do To Get A Data Science Job,2019-07-30,152562,5731,255,Jul
255,What Does a Data Scientist Actually Do?,2019-07-19,49051,1300,81,Jul
256,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13146,354,44,Jul
257,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18180,534,61,Jul
258,Data Science: Pros and Cons,2019-06-30,5434,223,18,Jun
259,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,25604,1218,89,Jun
260,My Top 5 Data Science Internship Tips,2019-06-15,12069,499,24,Jun
261,Golf STATS: Strokes Gained Explained,2019-06-07,7714,160,30,Jun
262,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,620,45,5,May
263,What I Learned From My Three Degrees,2019-05-17,1282,61,12,May
264,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25686,1068,66,May
265,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1260,40,2,May
266,Should You Learn R for Data Science?,2019-04-25,21667,569,71,Apr
267,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46562,857,331,Apr
268,Work From Home Data Scientist: Day in the Life,2019-04-12,28165,757,101,Apr
269,Where to Look for Data Science Jobs,2019-03-29,3025,120,9,Mar
270,Data Science: Startup vs. Large Corporation,2019-03-21,2247,75,4,Mar
271,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6229,174,26,Mar
272,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4243,180,15,Mar
273,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,820,33,12,Mar
274,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1456,36,8,Mar
275,Where YOU Should Start With Data Science Projects,2019-02-19,17616,355,17,Feb
276,Watch This Before Applying to Data Science Jobs,2019-02-04,1510,65,13,Feb
277,My Top 5 Data Science Resources for 2019,2019-01-05,3730,122,17,Jan
278,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,841,35,6,Dec
279,The Best Way to Predict NBA Minutes Played,2018-12-11,4728,114,14,Dec
280,Demystifying Data Science Roles,2018-11-30,1148,53,5,Nov
281,How to Simulate NBA Games in Python,2018-11-19,18188,398,49,Nov
282,Should You Get A Masters in Data Science?,2018-11-14,20658,301,135,Nov
283,How I Became A Data Scientist From a Business Background,2018-11-12,6509,199,23,Nov
284,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8948,195,17,Jul
285,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19185,295,41,Nov
